頁面,待補說明,來源資料夾
zh/faq,本頁問答內容待補 —— 來源 TCRFC_資料收件夾/12_FAQ_常見問題★（現有的客服問答、LINE常見詢問、招生Q&A都可以直接丟）/常見問題 FAQ.gdoc （Google Docs 捷徑尚未取回）。以下十大主題分類與手風琴、搜尋、深層連結、「有幫助嗎」回饋等版型功能已建置完成， 待客戶提供實際問答後，逐題填入即可上線。,TCRFC_資料收件夾/12_FAQ_常見問題★（現有的客服問答、LINE常見詢問、招生Q&A都可以直接丟
zh/faq,問答內容待補 —— 相關表單可先參考 10.1 加入球隊 。,
zh/faq,問答內容待補 —— 相關表單可先參考 4.7 加入學院 。,
zh/faq,問答內容待補 —— 相關資訊可先參考 05 課程與活動 。,
zh/faq,問答內容待補 —— 課程費用尚未由客戶提供，請勿於本頁列出任何金額。,
zh/faq,問答內容待補 —— 相關資訊可先參考 3.3 球員機會 。,
zh/faq,問答內容待補 —— 相關資訊可先參考 3.4 國際發展通道 。,
zh/faq,問答內容待補 —— 女足球隊名單與賽程請見 06 女子足球 ，並導向台中藍鯨女子隊官網。,
zh/faq,問答內容待補 —— 相關資訊可先參考 8.2 磐石球迷會 與 8.3 官方商品 。,
zh/faq,問答內容待補 —— 相關資訊可先參考 9.4 贊助方案 。,
zh/faq,問答內容待補。,
zh/join/academy,未成年學員個資保存期限說明待補 —— 規劃書明訂「入會表單須載明個資使用目的與同意條款」且未成年學員資料須取得監護人同意（行 915、1060），但未定義實際保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/academy,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/join/camp-registration,營隊梯次與報名截止日待補 —— 來源規劃書 05 課程頁面之課表與報名區塊（行 218、410），實際梯次與名額尚未由客戶提供，正式上線前需改為梯次下拉選單。,
zh/join/camp-registration,未成年學員個資與健康聲明保存期限說明待補 —— 規劃書明訂未成年學員資料須取得監護人同意（行 915、1060），但未定義健康聲明等敏感資料的保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/camp-registration,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/join/childrens-training,未成年學員個資保存期限說明待補 —— 規劃書明訂未成年學員資料須取得監護人同意（行 915、1060），但未定義實際保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/childrens-training,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/join/contact,總機電話待補 —— 來源為 Google Docs 捷徑尚未取回（客戶收件夾 10_JOIN_CONTACT★ ）。,
zh/join/contact,聯絡 Email 待補 —— 來源為 Google Docs 捷徑尚未取回。,
zh/join/contact,營業時間待補 —— 來源為 Google Docs 捷徑尚未取回。,
zh/join/contact,各部門分機待補 —— 來源為 Google Docs 捷徑尚未取回。九類表單的收件單位對應可先參考 加入與聯絡總覽 （競技部／學院部／課程部／國際部／商務部／公關／行政）。,
zh/join/general,個資保存期限說明待補 —— 規劃書僅載明表單須含「保存期限說明」（行 330），未定義各表單實際保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/general,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/join/international-player,Data retention period not yet defined 保存期限說明待補 — the planning document only requires forms to state a retention period (line 330) without specifying one. To be confirmed by the client / legal counsel before launch.,
zh/join/international-player,Recipient email not yet available 收件 Email 待補 — source: TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （folder currently empty; client to provide before launch）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （folder currently empty; client to provide before launch
zh/join/location,場地名稱與地址待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/02_場地位置 （目前資料夾為空）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/02_場地位置 （目前資料夾為空
zh/join/location,詳細地址、場地照片與交通指引待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/02_場地位置 （目前資料夾為空，僅確認場地名稱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/02_場地位置 （目前資料夾為空
zh/join/location,場地名稱與地址待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/02_場地位置 （目前資料夾為空）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/02_場地位置 （目前資料夾為空
zh/join/location,地圖嵌入待補 —— 場地地址與經緯度尚未取得，暫以此區塊佔位。正式上線前需依 output/TCRFC_前後台功能規劃書.md 行 849「場地管理：場地名稱、地址、經緯度、交通說明、照片」補齊後嵌入地圖。,
zh/join/location,停車資訊與建議路線待補 —— 來源同上，資料夾為空。,
zh/join/location,公車／捷運轉乘資訊待補 —— 來源同上，資料夾為空。,
zh/join/location,Google Maps／Apple Maps 導航連結待補，需先取得各場地正確地址。,
zh/join/media,個資保存期限說明待補 —— 規劃書僅載明表單須含「保存期限說明」（行 330），未定義各表單實際保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/media,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/join/partnership,個資保存期限說明待補 —— 規劃書僅載明表單須含「保存期限說明」（行 330），未定義各表單實際保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/partnership,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/join/player,個資保存期限說明待補 —— 規劃書僅載明表單須含「保存期限說明」（行 330），未定義各表單實際保存年限。正式上線前需由客戶／法務確認保存期限並更新本段文字。,
zh/join/player,收件 Email 待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空，正式上線前需由客戶提供各表單收件信箱）。,TCRFC_資料收件夾/10_JOIN_CONTACT★/01_九類表單的收件人Email與部門 （目前資料夾為空
zh/member,LINE 一鍵登入與綁定待串接 —— 客戶尚未提供 LINE 官方帳號資訊（Channel ID／Secret）。本頁登入按鈕目前為 disabled 佔位。,
zh/member,會員卡 QR、會籍付款與開通、球衣登記屬後端開發項目，本頁僅完成前端版型與流程說明骨架。會費採 LINE Pay 收款連結與現場收款，官網不接金流。,
zh/news/academy,文章待補 —— 來源資料夾 TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.3_學院新聞/ 目前為空， 待客戶提供學院梯隊相關報導後建立文章與「關聯梯隊」欄位。,TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.3_學院新聞/ 目前為空
zh/news/article,作者待補 —— 原稿未標示撰稿人,
zh/news/article,本文內文待補 —— 來源 TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.2_比賽/2026-05-24_企甲聯賽 台中磐石 3-0 銘傳大學/企甲聯賽：台中磐石 3-0 銘傳大學.gdoc 為 Google Docs 捷徑檔，僅含 doc_id ，本機無法讀取內文，需待客戶端授權下載為文字檔後匯入（見 news.json 之 body_zh ，目前為 null ）。,TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.2_比賽/2026-05-24_企甲聯賽 台中磐石 3-0 銘傳大學/企甲聯賽：台中磐石 3-0 銘傳大學.gdoc 為 Google Docs 捷徑檔
zh/news/article,待補 —— 本場為 2025/26 賽季已完賽場次，現行 schedule.json 僅收錄 2026/27 新賽季 21 場賽程，尚無歷史賽季資料可供關聯。,
zh/news/article,待補 —— 目前資料來源未包含逐場先發／替補名單，需待後台建立球員出賽紀錄模組後回填。,
zh/news/article,圖集待補 —— 原始資料夾另有 3 張未轉檔照片（ images: 4 ，僅 1 張已轉為 cover_web ）， 待正式站建立圖庫元件後補上完整賽事花絮。,
zh/news/article,標籤待補 —— news.json 目前僅有分類欄位，無逐篇標籤資料。,
zh/news/match,各篇賽後報導的「關聯賽事」「出賽名單」為結構化欄位，待 CMS 正式上線、逐篇建立與賽程資料的關聯後才會顯示； 比分目前僅呈現在標題文字中。已完成之賽果請見下方列表，未來賽程請見 賽事行事曆 。,
zh/news/media,色彩使用規範（品牌桃紅 #E0218A ／AA 安全版 #D61E83 ／品牌黑 #231916 ）與完整檔案說明見 brand/README.md ； .ai 主檔如需另外提供，請聯繫俱樂部窗口（見下方「媒體聯絡窗口」，目前待補）。,
zh/news/media,新聞稿下載尚未建置 —— 來源資料夾 TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.8_媒體專區（新聞稿、品牌識別包、高解析圖庫）/ 目前僅有系統圖示檔，尚無新聞稿文件。待後台「B3 媒體庫」上線、公關窗口上傳文件並標記為可公開下載後，本區將提供逐篇下載連結。,TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.8_媒體專區（新聞稿、品牌識別包、高解析圖庫
zh/news/media,高解析圖庫尚未建置 —— 目前 83 篇新聞的封面照片僅轉出網頁用尺寸（ site/src/assets/img/news/ ，約 1600px 寬）， 原始高解析檔案仍留在客戶收件夾中（平均每篇另有數張未轉檔照片）。需待後台依規劃書 B3 媒體庫規格， 將標記為「可公開下載」的原始檔整理上架後，才能對外提供高解析下載。,
zh/news/media,媒體詢問專用信箱與聯絡人待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT★/ 目前為空， 客戶尚未提供公關／媒體詢問收件人。規劃書 10.8 定義此表單應收集「媒體名稱、記者姓名、採訪主題、截稿日」， 由公關角色處理；正式上線前須向客戶確認收件信箱後才能開放此表單。,TCRFC_資料收件夾/10_JOIN_CONTACT★/ 目前為空
zh/news/player-stories,文章待補 —— 來源資料夾 TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.4_球員故事/ 目前為空， 待客戶提供球員專訪稿件後建立文章與「關聯球員」欄位。相關球員基本資料可先參考 一線隊名單 （多數球員 bio_zh 亦待補）。,TCRFC_資料收件夾/07_NEWS_新聞與故事★/7.4_球員故事/ 目前為空
zh/partners/become-a-partner,粉絲數、觸及、學員數等受眾數據待補 —— 來源 TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.3_成為夥伴（受眾數據、粉絲數、觸及、學員數）/ （目前資料夾為空）,TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.3_成為夥伴（受眾數據、粉絲數、觸及、學員數
zh/partners/opportunities,各方案的內容說明、權益清單與適合對象待補 —— 來源 TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.4_贊助方案（九種方案說明）/ （目前資料夾為空；方案名稱依規劃書 §3.9 列出）,TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.4_贊助方案（九種方案說明
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,方案內容、權益清單與適合對象待補,
zh/partners/opportunities,提案簡介 PDF 待補 —— 來源 TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.5_贊助提案簡介Deck（可下載的PDF）/ （目前資料夾為空）,TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.5_贊助提案簡介Deck（可下載的PDF
zh/partners/opportunities,（PDF 待補，暫無法送出）,
zh/partners/our-partners,合作夥伴名單、Logo 與合作內容全數待補 —— 來源 TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.1_合作夥伴（每家一資料夾：公司名，內含Logo與合作說明）/ （目前資料夾為空）,TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.1_合作夥伴（每家一資料夾：公司名
zh/partners/our-partners,三家國際合作俱樂部的 合作內容說明 待補 —— 標誌來源 TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_國際發展通道（歐洲／日本／香港、合作俱樂部Logo）/ （客戶把國際夥伴素材放在 03 單元，不在 09_PARTNERS 資料夾內）。 合作事實可交叉參照新聞：與 RC Alcobendas 達成合作協議（2024-11-05）、 與 Rot Weiss Ahlen 簽署合作備忘錄（2025-07-27）、 與 Hellas Verona 簽署合作備忘錄（2025-07-30）。 日後補件時另需 深淺底兩版 （後台 E1 要求）。,TCRFC_資料收件夾/03_FOOTBALL_CLUB_一線隊與球員發展/3.3_國際發展通道（歐洲／日本／香港、合作俱樂部Logo
zh/partners/our-sponsors,贊助商名單、Logo 與等級待補 —— 來源 TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.2_贊助商（每家一資料夾：公司名，請註明等級）/ （目前資料夾為空）,TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/9.2_贊助商（每家一資料夾：公司名
zh/partners/our-sponsors,贊助故事待補,
zh/partners/our-sponsors,贊助故事待補,
zh/partners/our-sponsors,贊助故事待補,
zh/perks,特約店家名單待補 —— 客戶尚未提供合作店家資料（店名、Logo／照片、類別、地址、電話、營業時間、地圖連結、優惠內容、適用層級、合作起訖）。本站不做票務，付費會籍價值主要建立在店家折扣與球衣之上，首波名單的數量與品質直接決定付費層能否成立，須於上線前談定。,
zh/perks,店家類別與地區篩選項目待定 —— 需先有店家名單才能決定分類軸。目前篩選器為 disabled 佔位。,
zh/privacy,隱私權政策正式條文待補 —— 來源 TCRFC_資料收件夾/10_JOIN_CONTACT_加入與聯絡★/04_隱私政策與個資同意條款（若已有）/隱私權政策.gdoc （Google Docs 捷徑尚未取回）。以下章節架構依規劃書第 8 節（個資規範）與台灣個人資料保護法一般實務列出， **各章節實際條文須由俱樂部與法務確認後填入**，正式上線前不得留空。規劃書亦明列「各表單保存期限說明」 屬待確認事項（規劃書行 1134：「實際年限未定」）。,TCRFC_資料收件夾/10_JOIN_CONTACT_加入與聯絡★/04_隱私政策與個資同意條款（若已有
zh/privacy,說明本政策適用的網站範圍、服務項目與生效方式。,
zh/privacy,本站透過報名表單、捐款回報、志工報名、會員註冊等管道蒐集的個人資料類別（如姓名、聯絡方式、出生日期、 未成年學員監護人資料等），須逐一列明。,
zh/privacy,說明蒐集個人資料的具體目的（如報名處理、會員服務、活動聯繫、捐款致謝等）。,
zh/privacy,含資料保存期限（規劃書明列此為待確認事項）、利用地區、可能之利用對象（如需委外處理需一併說明）， 以及利用方式。,
zh/privacy,依個人資料保護法，說明當事人得行使之查詢、更正、複製、停止蒐集處理利用及刪除等權利， 以及行使方式與聯絡窗口。,
zh/privacy,說明未成年學員（學院、課程與營隊報名者）之個人資料蒐集須取得監護人同意的具體作法， 對應規劃書「未成年學員資料須取得監護人同意」之要求。,
zh/privacy,說明本站採取之技術與管理措施（如傳輸加密、存取權限控管等）。,
zh/privacy,說明政策修訂之公告方式與生效時間。,
zh/programs/childrens-training,各分級適合的實際年齡區間、每級教學重點與晉級標準待補 —— 來源 TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.1_兒童足球訓練／台中磐石足球節/ （目前僅有活動照片，分級說明文稿為 Google Docs 捷徑，尚未取回）,TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.1_兒童足球訓練／台中磐石足球節/ （目前僅有活動照片
zh/programs/childrens-training,是否有其他分齡訓練地點（如衛星訓練點）待補 —— 來源同上資料夾，目前未提供多場地清單,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,待補,
zh/programs/childrens-training,活動完整報導文稿待補 —— 來源 TCRFC_資料收件夾/.../台中磐石足球節圓滿落幕.gdoc （Google Docs 捷徑，尚未取回原文）,TCRFC_資料收件夾/.../台中磐石足球節圓滿落幕.gdoc （Google Docs 捷徑
zh/programs/school-community,合作內容、適用對象與申請方式待補,
zh/programs/school-community,計畫內容與參與方式待補,
zh/programs/school-community,培訓對象、課綱與認證方式待補,
zh/programs/school-community,校園與社區單元尚無客戶素材（文字、照片皆缺） —— 來源 TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.5_校園與社區計畫（合作學校名單、方案說明）/ （唯一文件「合作學校.gdoc」為 Google Docs 捷徑，尚未取回原文）,TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.5_校園與社區計畫（合作學校名單、方案說明
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/school-community,待補,
zh/programs/specialist,各專項適合年齡／程度、每期堂數與教學重點待補 —— 來源 TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.4_專項訓練／台中磐石成人足球班/ （課程說明文稿為 Google Docs 捷徑，尚未取回）,TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.4_專項訓練／台中磐石成人足球班/ （課程說明文稿為 Google Docs 捷徑
zh/programs/specialist,個別教練姓名、證照等級與專項配置待補 —— 來源同上資料夾。宣傳資料所列班級（初級／中級／進階）為過往「成人足球訓練營」分級方式，與此處六大專項分類的對應關係待客戶確認。,
zh/programs/summer-camp,適合年齡、報名資格與每日課程內容待補 —— 來源 TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.2_夏令營/ （簡章文稿為 Google Docs 捷徑，尚未取回；資料夾內另有一份第三方合作單位「北美國際蒙特梭利教育機構」印製之 2026 年梯次宣傳圖，內容不代表磐石官方現行梯次，詳見下方合作夥伴說明）,TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.2_夏令營/ （簡章文稿為 Google Docs 捷徑
zh/programs/summer-camp,夏令營授課教練名單待補 —— 來源同上資料夾。一線隊與學院教練團可參考 一線隊 ／ 學院教練團 頁面，惟夏令營實際授課教練配置尚待客戶確認。,
zh/programs/summer-camp,照片背板標示「TCRFC AND ROT WEISS AHLEN 國際足球合作備忘錄簽訂儀式 2025.7.2」，此國際合作與夏令營課程內容的具體關聯待客戶確認 「北美國際蒙特梭利教育機構」（NAMA）於 2026 年曾與磐石合作推出足球表現營（師資、場地、費用等資訊見該單位自有宣傳文件），是否列為磐石夏令營官方合作夥伴、是否逐年持續，待客戶確認後補上正式合作夥伴清單。,
zh/programs/summer-camp,梯次日期、地點與名額待補 —— 來源同上資料夾。客戶提供之歷史宣傳資料顯示曾有梯次於 2026 年 7 月分四週於安和國中舉行，惟屬合作單位自有梯次，非磐石官方現行公告，不採用為本頁資訊。,
zh/programs/summer-camp,早鳥優惠期間、名額與費用待補 —— 來源同上資料夾,
zh/programs/winter-camp,冬令營尚無任何客戶素材（文字、照片皆缺） —— 來源 TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.3_冬令營/ （資料夾目前為空）。 以下區塊結構與 5.2 夏令營相同，待客戶提供資料後套版。,TCRFC_資料收件夾/05_PROGRAMS_課程與活動/5.3_冬令營/ （資料夾目前為空
zh/programs/winter-camp,適合年齡、報名資格與每日課程內容待補,
zh/programs/winter-camp,冬令營授課教練名單待補,
zh/programs/winter-camp,合作單位待補,
zh/programs/winter-camp,梯次日期、地點與名額待補,
zh/programs/winter-camp,早鳥優惠期間、名額與費用待補,
zh/womens,本頁主視覺照片待補 —— 來源 TCRFC_資料收件夾/06_WOMENS_FOOTBALL_女子足球（介紹文、照片、女足官網網址）/ （目前資料夾為空）,TCRFC_資料收件夾/06_WOMENS_FOOTBALL_女子足球（介紹文、照片、女足官網網址
zh/womens,隊伍沿革、定位與代表性介紹文待補 —— 來源同上資料夾。可先參考 台中藍鯨官方網站 （新分頁開啟） 。,
zh/womens,圖片與影音素材待補 —— 來源同上資料夾（目前資料夾為空）,
